,Date,Type,Team,Conf.,Opp.,Venue,Win,Points_For,Points_Against,Point_Differential,Season,Opp_Conf
0,2013-11-08,N,Duke,ACC,Davidson,Home,True,111,77,34,2013-14,SC
28176,2021-11-09,N,Stanford,P12,Tarleton St.,Home,True,62,50,12,2021-22,WAC
28173,2021-11-09,N,N.C. State,ACC,Bucknell,Home,True,88,70,18,2021-22,Pat
28172,2021-11-09,N,Chicago St.,WAC,St. Thomas,Home,True,77,72,5,2021-22,Sum
28169,2021-11-09,N,Arkansas,SEC,Mercer,Home,True,74,61,13,2021-22,SC
28168,2021-11-09,N,South Florida,Amer,Bethune Cookman,Home,True,75,54,21,2021-22,SWAC
28167,2021-11-09,N,New Mexico St.,WAC,UC Irvine,Home,True,62,51,11,2021-22,BW
28163,2021-11-09,N,Miami FL,ACC,Canisius,Home,True,77,67,10,2021-22,MAAC
28162,2021-11-09,N,Utah,P12,Abilene Christian,Home,True,70,56,14,2021-22,WAC
28158,2021-11-09,N,Arizona,P12,Northern Arizona,Home,True,81,52,29,2021-22,BSky
28155,2021-11-09,N,Marquette,BE,SIU Edwardsville,Home,True,88,77,11,2021-22,OVC
28151,2021-11-09,N,Rice,CUSA,Pepperdine,Home,True,82,63,19,2021-22,WCC
28147,2021-11-09,N,Northwestern,B10,Eastern Illinois,Home,True,80,56,24,2021-22,OVC
12982,2016-03-27,P,Columbia,Ivy,NJIT,Home,True,80,65,15,2015-16,ASun
28146,2021-11-09,N,Providence,BE,Fairfield,Home,True,80,73,7,2021-22,MAAC
28145,2021-11-09,N,BYU,WCC,Cleveland St.,Home,True,69,59,10,2021-22,Horz
28141,2021-11-09,N,Illinois,B10,Jackson St.,Home,True,71,47,24,2021-22,SWAC
12987,2016-03-27,P,Coastal Carolina,BSth,UC Irvine,Home,False,66,47,19,2015-16,BW
28121,2021-11-09,N,Wisconsin,B10,St. Francis NY,Home,True,81,58,23,2021-22,NEC
28122,2021-11-09,N,Alabama A&M,SWAC,Tennessee St.,Home,True,82,73,9,2021-22,OVC
28123,2021-11-09,N,South Dakota St.,Sum,Bradley,Home,True,81,65,16,2021-22,MVC
28126,2021-11-09,N,Minnesota,B10,UMKC,Home,True,71,56,15,2021-22,Sum
28127,2021-11-09,N,Saint Louis,A10,Central Arkansas,Home,True,96,61,35,2021-22,ASun
28130,2021-11-09,N,Grand Canyon,WAC,Grambling St.,Home,True,74,53,21,2021-22,SWAC
28180,2021-11-09,N,Little Rock,SB,Southern Illinois,Home,True,69,66,3,2021-22,MVC
28132,2021-11-09,N,Missouri,SEC,Central Michigan,Home,True,78,68,10,2021-22,MAC
28134,2021-11-09,N,Mississippi,SEC,New Orleans,Home,True,82,61,21,2021-22,Slnd
28135,2021-11-09,N,Virginia Tech,ACC,Maine,Home,True,82,47,35,2021-22,AE
28137,2021-11-09,N,Wagner,NEC,Hartford,Home,True,77,59,18,2021-22,AE
28139,2021-11-09,N,Fordham,A10,Columbia,Home,True,77,67,10,2021-22,Ivy
28140,2021-11-09,N,Georgia Southern,SB,Ball St.,Home,True,82,71,11,2021-22,MAC
12988,2016-03-28,P,Morehead St.,OVC,Nevada,Home,True,86,83,3,2015-16,MWC
28133,2021-11-09,N,Charlotte,CUSA,Monmouth,Home,True,68,66,2,2021-22,MAAC
28182,2021-11-09,N,Saint Joseph's,A10,Maryland Eastern Sho,Home,True,69,67,2,2021-22,MEAC
28183,2021-11-09,N,Virginia,ACC,Navy,Home,False,66,58,8,2021-22,Pat
12966,2016-03-24,P,NJIT,ASun,UT Arlington,Home,True,63,60,3,2015-16,SB
12947,2016-03-23,P,Columbia,Ivy,Ball St.,Home,True,69,67,2,2015-16,MAC
12946,2016-03-23,P,Nevada,MWC,Vermont,Home,True,86,72,14,2015-16,AE
28209,2021-11-09,N,George Washington,A10,Saint Francis,Home,True,75,72,3,2021-22,NEC
12944,2016-03-23,P,George Washington,A10,Florida,Home,True,82,77,5,2015-16,SEC
28210,2021-11-09,N,Wichita St.,Amer,Jacksonville St.,Home,True,60,57,3,2021-22,ASun
12942,2016-03-22,P,Valparaiso,Horz,Saint Mary's,Home,True,60,44,16,2015-16,WCC
28208,2021-11-09,N,Illinois St.,MVC,UNC Wilmington,Home,True,68,63,5,2021-22,CAA
28214,2021-11-09,N,Oregon St.,P12,Portland St.,Home,True,73,64,9,2021-22,BSky
12939,2016-03-21,P,Seattle,WAC,Vermont,Home,False,73,54,19,2015-16,AE
12938,2016-03-21,P,Ohio,MAC,UNC Greensboro,Home,True,72,67,5,2015-16,SC
28215,2021-11-09,N,SMU,Amer,McNeese St.,Home,True,86,62,24,2021-22,Slnd
28218,2021-11-09,N,Rhode Island,A10,Boston University,Home,True,71,62,9,2021-22,Pat
12935,2016-03-21,P,South Carolina,SEC,Georgia Tech,Home,False,83,66,17,2015-16,ACC
12934,2016-03-21,P,Monmouth,MAAC,George Washington,Home,False,87,71,16,2015-16,A10
12940,2016-03-22,P,BYU,WCC,Creighton,Home,True,88,82,6,2015-16,BE
13002,2016-03-29,P,Columbia,Ivy,UC Irvine,Home,True,73,67,6,2015-16,BW
12949,2016-03-23,P,San Diego St.,MWC,Georgia Tech,Home,True,72,56,16,2015-16,ACC
28204,2021-11-09,N,George Mason,A10,Stony Brook,Home,True,74,52,22,2021-22,AE
28185,2021-11-09,N,Arizona St.,P12,Portland,Home,True,76,60,16,2021-22,WCC
28186,2021-11-09,N,San Diego St.,MWC,UC Riverside,Home,True,66,53,13,2021-22,BW
28187,2021-11-09,N,Iona,MAAC,Appalachian St.,Home,True,65,53,12,2021-22,SB
28188,2021-11-09,N,Iowa St.,B12,Kennesaw St.,Home,True,84,73,11,2021-22,ASun
28189,2021-11-09,N,Louisville,ACC,Southern,Home,True,72,60,12,2021-22,SWAC
28192,2021-11-09,N,Dayton,A10,Illinois Chicago,Home,True,64,54,10,2021-22,Horz
28206,2021-11-09,N,Colgate,Pat,Northeastern,Home,True,65,58,7,2021-22,CAA
